predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1,2,>= 0.6,0.6,156544,0.1529665780866721,0.1,52.9665780866721,0,2,3,1
p1,3,>= 0.8,0.8,156544,0.0862505110384301,0.05,72.50102207686018,0,2,3,1
p1_5,0,>= 0.2,0.2,156544,0.24173395339329518,0.7,-65.46657808667211,0,2,3,1
p1_5,1,>= 0.5,0.5,156544,0.14155764513491415,0.35,-59.55495853288168,0,2,3,1
p1_5,2,>= 0.6,0.6,156544,0.06840249386753884,0.1,-31.597506132461163,0,2,3,1
p1_5,3,>= 0.8,0.8,156544,0.04744991823385119,0.05,-5.1001635322976275,0,2,3,1
p2,0,>= 0.2,0.2,156544,0.7298139820114473,0.7,4.259140287349624,0,2,3,1
p2,1,>= 0.5,0.5,156544,0.41392196443172524,0.35,18.263418409064364,0,2,3,1
p2,2,>= 0.6,0.6,156544,0.1540972506132461,0.1,54.0972506132461,0,2,3,1
p2,3,>= 0.8,0.8,156544,0.08818606909239575,0.05,76.3721381847915,0,2,3,1
custom,0,>= 0.2,0.2,156544,0.7232471381847915,0.7,3.321019740684503,0,2,3,1
custom,1,>= 0.5,0.5,156544,0.40952703393295176,0.35,17.007723980843366,0,2,3,1
custom,2,>= 0.6,0.6,156544,0.15374591169255927,0.1,53.74591169255927,0,2,3,1
custom,3,>= 0.8,0.8,156544,0.08929757767784137,0.05,78.59515535568273,0,2,3,1
default,0,>= 0.2,0.2,156544,0.6925017886345053,0.7,-1.0711730522135239,0,2,3,1
default,1,>= 0.5,0.5,156544,0.37388210343417827,0.35,6.823458124050941,0,2,3,1
default,2,>= 0.6,0.6,156544,0.13161155968928864,0.1,31.611559689288637,0,2,3,1
default,3,>= 0.8,0.8,156544,0.07394726083401472,0.05,47.894521668029434,0,2,3,1
raw,0,>= 0.2,0.2,156544,0.006260220768601799,0.7,-99.1056827473426,0,2,3,1
raw,1,>= 0.5,0.5,156544,0.0008815412919051513,0.35,-99.74813105945567,0,2,3,1
raw,2,>= 0.6,0.6,156544,0.0003705028618152085,0.1,-99.62949713818479,0,2,3,1
raw,3,>= 0.8,0.8,156544,7.665576451349142e-05,0.05,-99.84668847097302,0,2,3,1
p1,0,>= 0.2,0.2,126370,0.7385218010603782,0.7,5.503114437196897,1,3,4,1
p1,1,>= 0.5,0.5,126370,0.42118382527498616,0.35,20.338235792853197,1,3,4,1
p1,2,>= 0.6,0.6,126370,0.15324048429215795,0.1,53.240484292157944,1,3,4,1
p1,3,>= 0.8,0.8,126370,0.08398354039724618,0.05,67.96708079449235,1,3,4,1
p1_5,0,>= 0.2,0.2,126370,0.26279971512226,0.7,-62.45718355396285,1,3,4,1
p1_5,1,>= 0.5,0.5,126370,0.15389728574819972,0.35,-56.02934692908579,1,3,4,1
p1_5,2,>= 0.6,0.6,126370,0.07224024689404131,0.1,-27.759753105958694,1,3,4,1
p1_5,3,>= 0.8,0.8,126370,0.05005143625860568,0.05,0.10287251721136093,1,3,4,1
p2,0,>= 0.2,0.2,126370,0.73946348025639,0.7,5.637640036627146,1,3,4,1
p2,1,>= 0.5,0.5,126370,0.38104771702144496,0.35,8.870776291841425,1,3,4,1
p2,2,>= 0.6,0.6,126370,0.10780248476695418,0.1,7.802484766954179,1,3,4,1
p2,3,>= 0.8,0.8,126370,0.052805254411648336,0.05,5.610508823296668,1,3,4,1
custom,0,>= 0.2,0.2,126370,0.753580754926011,0.7,7.654393560858715,1,3,4,1
custom,1,>= 0.5,0.5,126370,0.42145287647384666,0.35,20.415107563956198,1,3,4,1
custom,2,>= 0.6,0.6,126370,0.14124396613120202,0.1,41.243966131202015,1,3,4,1
custom,3,>= 0.8,0.8,126370,0.07394951333386088,0.05,47.89902666772175,1,3,4,1
default,0,>= 0.2,0.2,126370,0.7323177969454776,0.7,4.6168281350682365,1,3,4,1
default,1,>= 0.5,0.5,126370,0.40653636147819894,0.35,16.153246136628276,1,3,4,1
default,2,>= 0.6,0.6,126370,0.1427554008071536,0.1,42.75540080715359,1,3,4,1
default,3,>= 0.8,0.8,126370,0.07882408799556857,0.05,57.64817599113714,1,3,4,1
raw,0,>= 0.2,0.2,126370,0.005214845295560655,0.7,-99.25502210063418,1,3,4,1
raw,1,>= 0.5,0.5,126370,0.0006647147265965023,0.35,-99.81008150668671,1,3,4,1
raw,2,>= 0.6,0.6,126370,0.000269051198860489,0.1,-99.7309488011395,1,3,4,1
raw,3,>= 0.8,0.8,126370,3.9566352773601326e-05,0.05,-99.92086729445279,1,3,4,1
p1,0,>= 0.2,0.2,147496,0.7032665292618104,0.7,0.46664703740149716,2,4,5,1
p1,1,>= 0.5,0.5,147496,0.35457910723002656,0.35,1.3083163514361658,2,4,5,1
p1,2,>= 0.6,0.6,147496,0.10436215219395781,0.1,4.362152193957803,2,4,5,1
p1,3,>= 0.8,0.8,147496,0.05187259315506861,0.05,3.745186310137219,2,4,5,1
p1_5,0,>= 0.2,0.2,147496,0.21198540977382438,0.7,-69.71637003231079,2,4,5,1
p1_5,1,>= 0.5,0.5,147496,0.10935211802353963,0.35,-68.7565377075601,2,4,5,1
p1_5,2,>= 0.6,0.6,147496,0.0450927482779194,0.1,-54.90725172208061,2,4,5,1
p1_5,3,>= 0.8,0.8,147496,0.029478765525844768,0.05,-41.042468948310464,2,4,5,1
p2,0,>= 0.2,0.2,147496,0.6848321310408418,0.7,-2.1668384227368738,2,4,5,1
p2,1,>= 0.5,0.5,147496,0.3000691544177469,0.35,-14.265955880643737,2,4,5,1
p2,2,>= 0.6,0.6,147496,0.06470005966263492,0.1,-35.29994033736508,2,4,5,1
p2,3,>= 0.8,0.8,147496,0.02945842599121332,0.05,-41.083148017573365,2,4,5,1
custom,0,>= 0.2,0.2,147496,0.7292265552964148,0.7,4.175222185202118,2,4,5,1
custom,1,>= 0.5,0.5,147496,0.35916906221185657,0.35,2.6197320605304553,2,4,5,1
